"","fb","Taxa","plant","ra","z_land","p_land","z_even","p_even","p_land_BH","p_even_BH","target","target_k","target_p","target_c","landscape","target2","plant2","tag_ord","Top"
"25%200","Fungi","Hyaloscypha","Betula","perc25",4.29991332969831,0.0001000100010001,-2.08991867440664,0.0275027502750275,0.000278391223310958,0.106988720850107,"Fng_*Hyaloscypha*","Fungi","Fng_Ascomycota","Fng_Leotiomycetes","without Δ*H* change","Fng_*Hyaloscypha*","*Betula*","Fng_*Hyaloscypha*",FALSE
"25%605","Fungi","Podila","Betula","perc25",3.0981532548543,1e-04,-0.74295667628734,0.15951595159516,0.000278391223310958,0.287243266516957,"Fng_*Podila*","Fungi","Fng_Mortierellomycota","Fng_Mortierellomycetes","without Δ*H* change","Fng_*Podila*","*Betula*","Fng_*Podila*",FALSE
"50%200","Fungi","Hyaloscypha","Betula","median",4.33127814473858,0.0001000100010001,-1.62761958645699,0.0621062106210621,0.000278391223310958,0.16996597340498,"Fng_*Hyaloscypha*","Fungi","Fng_Ascomycota","Fng_Leotiomycetes","without Δ*H* change","Fng_*Hyaloscypha*","*Betula*","Fng_*Hyaloscypha*",FALSE
"50%637","Fungi","Spirochaeta 2","Betula","median",3.47180157004886,1e-04,0.0453928514775155,0.476547654765477,0.000278391223310958,0.517291447759495,"Prok_*Spirochaeta 2*","Prokaryote","Prok_Spirochaetota","Prok_Spirochaetia","without Δ*H* change","Prok_*Spirochaeta 2*","*Betula*","Prok_*Spirochaeta 2*",FALSE
"75%200","Fungi","Hyaloscypha","Betula","perc75",4.75013060544976,1e-04,-1.1916237593668,0.273927392739274,0.000278391223310958,0.387152430602384,"Fng_*Hyaloscypha*","Fungi","Fng_Ascomycota","Fng_Leotiomycetes","without Δ*H* change","Fng_*Hyaloscypha*","*Betula*","Fng_*Hyaloscypha*",FALSE
"75%20","Fungi","Actinospica","Betula","perc75",3.549800572616,0.0001000100010001,0.188400333449373,0.317031703170317,0.000278391223310958,0.418673862119589,"Prok_*Actinospica*","Prokaryote","Prok_Actinobacteriota","Prok_Actinobacteria","without Δ*H* change","Prok_*Actinospica*","*Betula*","Prok_*Actinospica*",FALSE
"25%2136","Fungi","Podila","Pinus","perc25",10.4856186258214,1e-04,0.476430090773814,0.175417541754175,0.000278391223310958,0.300844333507161,"Fng_*Podila*","Fungi","Fng_Mortierellomycota","Fng_Mortierellomycetes","without Δ*H* change","Fng_*Podila*","*Pinus*","Fng_*Podila*",FALSE
"25%246","Fungi","Cladophialophora","Pinus","perc25",8.91868120507992,0.0002000200020002,0.268658539268581,0.0294029402940294,0.000538845830891814,0.111638419362441,"Fng_*Cladophialophora*","Fungi","Fng_Ascomycota","Fng_Eurotiomycetes","without Δ*H* change","Fng_*Cladophialophora*","*Pinus*","Fng_*Cladophialophora*",FALSE
"50%2136","Fungi","Podila","Pinus","median",10.3274705817381,1e-04,-0.189095492543358,0.415941594159416,0.000278391223310958,0.481928477791946,"Fng_*Podila*","Fungi","Fng_Mortierellomycota","Fng_Mortierellomycetes","without Δ*H* change","Fng_*Podila*","*Pinus*","Fng_*Podila*",FALSE
"50%213","Fungi","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Pinus","median",6.57110029516794,1e-04,-2.00787331312267,0.0116011601160116,0.000278391223310958,0.0625589440664497,"Prok_*Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium*","Prokaryote","Prok_Proteobacteria","Prok_Alphaproteobacteria","without Δ*H* change","Prok_*Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium*","*Pinus*","Prok_*Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium*",FALSE
"75%2136","Fungi","Podila","Pinus","perc75",10.4853820245029,1e-04,-2.03888725312352,0.0071007100710071,0.000278391223310958,0.0450760265900008,"Fng_*Podila*","Fungi","Fng_Mortierellomycota","Fng_Mortierellomycetes","without Δ*H* change","Fng_*Podila*","*Pinus*","Fng_*Podila*",FALSE
"75%2133","Fungi","Phialocephala","Pinus","perc75",7.32025487152674,1e-04,-3.69063828986868,0.0056005600560056,0.000278391223310958,0.0388744756828624,"Fng_*Phialocephala*","Fungi","Fng_Ascomycota","Fng_Leotiomycetes","without Δ*H* change","Fng_*Phialocephala*","*Pinus*","Fng_*Phialocephala*",FALSE
